,first_char,probability,second_char
202,5,0.0144485833616,17
203,5,0.0133197877864,18
204,5,0.0159160176092,19
205,5,0.00474094141551,20
206,5,0.00993340106107,21
207,5,0.00959476238853,22
208,5,0.0220115137149,23
209,5,0.00869172592843,24
210,5,0.00598261654814,25
211,5,0.0165932949543,26
212,5,0.00395078451292,27
213,5,0.0125296308838,28
214,5,0.0310418783158,29
215,5,0.0273168529179,30
216,5,0.00665989389322,31
217,5,0.00507958008805,32
218,5,0.00857884637092,33
219,5,0.00643413477819,34
220,5,0.00586973699063,35
221,5,0.00417654362795,36
222,6,0.168565948324,0
223,6,0.0416337583211,1
224,6,0.0327202978675,2
225,6,0.0403926435744,3
226,6,0.0437775019745,4
227,6,0.143856482004,5
228,6,0.101545752003,6
229,6,0.0303508969875,7
230,6,0.0663432246418,8
231,6,0.0745797134153,9
232,6,0.0,10
233,6,0.0410696152544,11
234,6,0.0170371206138,12
235,6,0.0176012636805,13
236,6,0.0142164052804,14
237,6,0.00857497461356,15
238,6,0.011395689947,16
239,6,0.00925194629358,17
240,6,0.00767234570687,18
241,6,0.00722103125353,19
242,6,0.00361051562676,20
243,6,0.0099289179736,21
244,6,0.00755951709353,22
245,6,0.0112828613336,23
246,6,0.00654405957351,24
247,6,0.00541577344014,25
248,6,0.0119598330137,26
249,6,0.0024822294934,27
250,6,0.00699537402685,28
251,6,0.0157960058671,29
252,6,0.0155703486404,30
253,6,0.0037233442401,31
254,6,0.00203091504005,32
255,6,0.00778517432021,33
256,6,0.00485163037346,34
257,6,0.00440031592012,35
258,6,0.00225657226673,36
259,7,0.0591146181624,0
260,7,0.0477464223619,1
261,7,0.0611207703624,2
262,7,0.0438678614418,3
263,7,0.0375819178815,4
264,7,0.0377156613615,5
265,7,0.0407917614016,6
266,7,0.142436806206,7
267,7,0.0568409790023,8
268,7,0.0330346395613,9
269,7,0.0,10
270,7,0.0683429182827,11
271,7,0.0228701350809,12
272,7,0.023806339441,13
273,7,0.0272836699211,14
274,7,0.0125718871205,15
275,7,0.0145780393206,16
276,7,0.0155142436806,17
277,7,0.0135080914805,18
278,7,0.00842583924034,19
279,7,0.00722214792029,20
280,7,0.0141768088806,21
281,7,0.0132406045205,22
282,7,0.0216664437609,23
283,7,0.0109669653604,24
284,7,0.0100307610004,25
285,7,0.0147117828006,26
286,7,0.00267486960011,27
287,7,0.0128393740805,28
288,7,0.049083857162,29
289,7,0.0329008960813,30
290,7,0.00534973920021,31
291,7,0.00655343052026,32
292,7,0.0127056306005,33
293,7,0.00789086532032,34
294,7,0.0049485087602,35
295,7,0.00588471312024,36
296,8,0.145945945946,0
297,8,0.0474474474474,1
298,8,0.0273873873874,2
299,8,0.0273873873874,3
300,8,0.0255855855856,4
301,8,0.0373573573574,5
302,8,0.0488888888889,6
303,8,0.034954954955,7
304,8,0.200720720721,8
305,8,0.0470870870871,9
306,8,0.0,10
307,8,0.0512912912913,11
308,8,0.0269069069069,12
309,8,0.021981981982,13
310,8,0.0211411411411,14
311,8,0.00996996996997,15
312,8,0.0112912912913,16
313,8,0.0126126126126,17
314,8,0.0103303303303,18
315,8,0.00852852852853,19
316,8,0.0192192192192,20
317,8,0.00816816816817,21
318,8,0.00768768768769,22
319,8,0.0163363363363,23
320,8,0.00912912912913,24
321,8,0.00696696696697,25
322,8,0.0135735735736,26
323,8,0.00228228228228,27
324,8,0.00948948948949,28
325,8,0.0288288288288,29
326,8,0.0254654654655,30
327,8,0.00516516516517,31
328,8,0.00396396396396,32
329,8,0.00804804804805,33
330,8,0.00828828828829,34
331,8,0.00660660660661,35
332,8,0.00396396396396,36
333,9,0.0793725122922,0
334,9,0.0991571060642,1
335,9,0.0515101849684,2
336,9,0.0369936782955,3
337,9,0.0395691875439,4
338,9,0.0455396862561,5
339,9,0.0484664013112,6
340,9,0.0410910793725,7
341,9,0.0609927417467,8
342,9,0.171856708031,9
343,9,0.0,10
344,9,0.0478810583002,11
345,9,0.0200187309764,12
346,9,0.0237649262468,13
347,9,0.020369936783,14
348,9,0.0108873800047,15
349,9,0.0110044486069,16
350,9,0.0119409974245,17
351,9,0.00784359634746,18
352,9,0.00936548817607,19
353,9,0.0191992507609,20
354,9,0.00643877312105,21
355,9,0.00936548817607,22
356,9,0.0132287520487,23
357,9,0.00796066494966,24
358,9,0.00491688129244,25
359,9,0.0119409974245,26
360,9,0.00292671505502,27
361,9,0.00854600796066,28
362,9,0.0269257785062,29
363,9,0.020955279794,30
364,9,0.00257550924842,31
365,9,0.00444860688363,32
366,9,0.00819480215406,33
367,9,0.00842893935846,34
368,9,0.00456567548583,35
369,9,0.00175602903301,36
370,10,,0
371,10,,1
372,10,,2
373,10,,3
374,10,,4
375,10,,5
376,10,,6
377,10,,7
378,10,,8
379,10,,9
380,10,,10
381,10,,11
382,10,,12
383,10,,13
384,10,,14
385,10,,15
386,10,,16
387,10,,17
388,10,,18
389,10,,19
390,10,,20
391,10,,21
392,10,,22
393,10,,23
394,10,,24
395,10,,25
396,10,,26
397,10,,27
398,10,,28
399,10,,29
400,10,,30
401,10,,31
402,10,,32
403,10,,33
404,10,,34
405,10,,35
406,10,,36
407,11,0.000140429289307,0
408,11,0.00109464125873,1
409,11,0.00114869138087,2
410,11,0.000530903536191,3
411,11,0.000445534651685,4
412,11,0.00027227117603,5
413,11,0.000231354728426,6
414,11,0.000349557799281,7
415,11,0.000378855996331,8
416,11,0.000243983261637,9
417,11,0.0,10
418,11,0.0235259470895,11
419,11,0.0287576958281,12
420,11,0.0538248291107,13
421,11,0.045606179697,14
422,11,0.0106791928246,15
423,11,0.0176789362128,16
424,11,0.0328720719483,17
425,11,0.0120870217069,18
426,11,0.0400662947479,19
427,11,0.00471903029029,20
428,11,0.0187281147519,21
429,11,0.100741345414,22
430,11,0.05568779033,23
431,11,0.134930320805,24
432,11,0.0091061827278,25
433,11,0.0354937554429,26
434,11,0.00207461543591,27
435,11,0.124291034146,28
436,11,0.0734227972302,29
437,11,0.0809428361867,30
438,11,0.0200606775764,31
439,11,0.0190438280822,32
440,11,0.0149082360263,33
441,11,0.00507566006817,34
442,11,0.0209345720746,35
443,11,0.00990481116807,36
444,12,0.000298491905184,0
445,12,0.000885999782054,1
446,12,0.00178384448098,2
447,12,0.000592245843619,3
448,12,0.000736753829462,4
449,12,0.000364823439669,5
450,12,0.000210839520328,6
451,12,0.000251112237694,7
452,12,0.000279540038188,8
453,12,0.000305598855307,9
454,12,0.0,10
455,12,0.182257735915,11
456,12,0.0218349197625,12
457,12,0.0209418130304,13
458,12,0.0104969653323,14
459,12,0.150726567201,15
460,12,0.00438261924278,16
461,12,0.00549367244541,17
462,12,0.00762812646581,18
463,12,0.10616125196,19
464,12,0.00316259280492,20
465,12,0.00324550722303,21
466,12,0.084681679704,22
467,12,0.00995209915617,23
468,12,0.00516201477298,24
469,12,0.126096247057,25
470,12,0.00599826590417,26
471,12,0.00160617072789,27
472,12,0.0861078076954,28
473,12,0.0378563543241,29
474,12,0.00990945745543,30
475,12,0.0748101259825,31
476,12,0.0022742240395,32
477,12,0.00419546955619,33
478,12,0.00087889283193,34
479,12,0.0267268704308,35
480,12,0.00170329904625,36
481,13,0.000120333645883,0
482,13,0.000526608628518,1
483,13,0.000763701653575,2
484,13,0.000376489426723,3
485,13,0.000425337738418,4
486,13,0.000165607690869,5
487,13,0.000165607690869,6
488,13,0.00012152506812,7
489,13,0.000176330490997,8
490,13,0.000150119201795,9
491,13,0.0,10
492,13,0.146573529219,11
493,13,0.00619420420739,12
494,13,0.0248757048752,13
495,13,0.00650873967782,14
496,13,0.102328873046,15
497,13,0.00503971606025,16
498,13,0.00445591916438,17
499,13,0.164295934986,18
500,13,0.0586346539455,19
501,13,0.00155957170753,20
502,13,0.058586997056,21
503,13,0.0496215447266,22
504,13,0.0082756188545,23
505,13,0.00594877122668,24
506,13,0.159456377862,25
507,13,0.00826727889884,26
508,13,0.00104130303467,27
509,13,0.0448915984478,28
510,13,0.0292243960383,29
511,13,0.0594579267109,30
512,13,0.0318729276699,31
513,13,0.00221008824865,32
514,13,0.00321326577175,33
515,13,0.000471803205641,34
516,13,0.0121787181012,35
517,13,0.00182287602179,36
518,14,0.000144071218089,0
519,14,0.000892906502805,1
520,14,0.00129999145624,2
521,14,0.000571259132189,3
522,14,0.000720356090443,4
523,14,0.000318296877173,5
524,14,0.000219457320577,6
525,14,0.000229508800909,7
526,14,0.000197679113191,8
527,14,0.00023956028124,9
528,14,0.0,10
529,14,0.131133287655,11
530,14,0.0162113625284,12
531,14,0.022702943576,13
532,14,0.0212404531877,14
533,14,0.208280074448,15
534,14,0.012773756255,16
535,14,0.0220294943938,17
536,14,0.0121606159547,18
537,14,0.162240944035,19
538,14,0.00442600183942,20
539,14,0.00389997436873,21
540,14,0.0195903351666,22
541,14,0.0186036148474,23
542,14,0.0103865296762,24
543,14,0.0920883123062,25
544,14,0.0135158905528,26
545,14,0.00087950452903,27
546,14,0.046375855004,28
547,14,0.0687973571308,29
548,14,0.0142948802785,30
549,14,0.0386445913822,31
550,14,0.0139698824144,32
551,14,0.0146031256753,33
552,14,0.00129329046935,34
553,14,0.0216743420887,35
554,14,0.00335049344392,36
555,15,9.62849418054e-05,0
556,15,0.000704255574348,1
557,15,0.00110700173093,2
558,15,0.000463268120001,3
559,15,0.000606870233208,4
560,15,0.000202473477625,5
561,15,0.000172762695582,6
562,15,0.000192019683943,7
563,15,0.000183216489264,8
564,15,0.000172762695582,9
565,15,0.0,10
566,15,0.0787357732121,11
567,15,0.025898448547,12
568,15,0.0535366284425,13
569,15,0.043742524162,14
570,15,0.035405348601,15
571,15,0.0133604985249,16
572,15,0.0180520510893,17
573,15,0.00868050015351,18
574,15,0.0156955459136,19
575,15,0.00266736798784,20
576,15,0.0109330175921,21
577,15,0.0665224409938,22
578,15,0.0355792116959,23
579,15,0.0990210847517,24
580,15,0.0147739614706,25
581,15,0.0209835149176,26
582,15,0.00246929610756,27
583,15,0.174359925217,28
584,15,0.123124231784,29
585,15,0.0636889127064,30
586,15,0.00958392800747,31
587,15,0.0154490564626,32
588,15,0.0230203540865,33
589,15,0.0211243660324,34
590,15,0.0155926585758,35
591,15,0.0040984373229,36
592,16,0.000161982420323,0
593,16,0.00132336581132,1
594,16,0.000696830034597,2
595,16,0.000363696377706,3
596,16,0.000473722172643,4
597,16,0.000302570936075,5
598,16,0.00013753224367,6
599,16,0.000186432596976,7
600,16,0.000192545141139,8
601,16,0.000180320052812,9
602,16,0.0,10
603,16,0.125649457817,11
604,16,0.00932468612086,12
605,16,0.0300309294735,13
606,16,0.00695301898556,14
607,16,0.104240271886,15
608,16,0.0548692526804,16
609,16,0.00710277631756,17
610,16,0.00537598259147,18
611,16,0.157364393208,19
612,16,0.00232276678199,20
613,16,0.00254281837186,21
614,16,0.0613821684862,22
615,16,0.0120233743689,23
616,16,0.00466998374063,24
617,16,0.157370505752,25
618,16,0.00818469663443,26
619,16,0.000577635423416,27
620,16,0.0869570532647,28
621,16,0.0182214941503,29
622,16,0.0663058228096,30
623,16,0.0553582562134,31
624,16,0.00193767649971,32
625,16,0.00606364380983,33
626,16,0.00459052066651,34
627,16,0.00540043276813,35
628,16,0.001161383391,36
629,17,0.000222478409482,0
630,17,0.000811259654776,1
631,17,0.00105396337421,2
632,17,0.000559566908696,3
633,17,0.000737100184949,4
634,17,0.0003146159326,5
635,17,0.000182027789576,6
636,17,0.000182027789576,7
637,17,0.000262929029387,8
638,17,0.000238209206112,9
639,17,0.0,10
640,17,0.154525862553,11
641,17,0.0136206226249,12
642,17,0.0170004966437,13
643,17,0.0103800785191,14
644,17,0.167112747114,15
645,17,0.00900251018569,16
646,17,0.0176072559423,17
647,17,0.0507385609018,18
648,17,0.0883171867942,19
649,17,0.002289954538,20
650,17,0.00370347897804,21
651,17,0.04579909076,22
652,17,0.0137734360779,23
653,17,0.0430596848897,24
654,17,0.0934746408322,25
655,17,0.0118475371191,26
656,17,0.000746089211595,27
657,17,0.103299646956,28
658,17,0.0473272252897,29
659,17,0.0167375676143,30
660,17,0.0508958688681,31
661,17,0.00296637879309,32
662,17,0.00767438149879,33
663,17,0.000997781957675,34
664,17,0.0203781234059,35
665,17,0.00215961365163,36
666,18,0.000139863840661,0
667,18,0.00059536634876,1
668,18,0.00106409922016,2
669,18,0.000534884687934,3
670,18,0.000540554843636,4
671,18,0.000200345501487,5
672,18,0.000120963321653,6
673,18,0.000134193684959,7
674,18,0.000151204152066,8
675,18,0.00013797378876,9
676,18,0.0,10
677,18,0.175578261379,11
678,18,0.00926125431404,12
679,18,0.0138408500697,13
680,18,0.0104954582053,14
681,18,0.209922394469,15
682,18,0.00652634921355,16
683,18,0.00477427110148,17
684,18,0.00451344393917,18
685,18,0.135155721376,19
686,18,0.00189005190083,20
687,18,0.00537908770975,21
688,18,0.0137312270595,22
689,18,0.0126709079431,23
690,18,0.0199287072423,24
691,18,0.197871423549,25
692,18,0.0101363483441,26
693,18,0.00220947067206,27
694,18,0.0274945850013,28
695,18,0.0187001735068,29
696,18,0.0363343577415,30
697,18,0.0482662553914,31
698,18,0.00313370605157,32
699,18,0.00787962637454,33
700,18,0.000744680448925,34
701,18,0.0189156394235,35
702,18,0.00102629818215,36
703,19,5.48197678695e-05,0
704,19,0.000260914338214,1
705,19,0.000401086402893,2
706,19,0.000176255962517,3
707,19,0.0001526626447,4
708,19,0.000108251693514,5
709,19,6.80042690027e-05,6
710,19,8.60462179218e-05,7
711,19,9.64550346058e-05,8
712,19,7.84130856868e-05,9
713,19,0.0,10
714,19,0.0672180563825,11
715,19,0.0135148075826,12
716,19,0.090089696243,13
717,19,0.0388609701295,14
718,19,0.0485765596224,15
719,19,0.0172897384334,16
720,19,0.0373516917103,17
721,19,0.0029574917805,18
722,19,0.00305811034178,19
723,19,0.00279095071356,20
724,19,0.0162113850249,21
725,19,0.0630413452077,22
726,19,0.0344906549644,23
727,19,0.222020753793,24
728,19,0.061862373238,25
729,19,0.0194943258071,26
730,19,0.00343560342686,27
731,19,0.0444650770322,28
732,19,0.0787343711617,29
733,19,0.0801471945463,30
734,19,0.0045458772065,31
735,19,0.0259519556779,32
736,19,0.00258208045877,33
737,19,0.00708840416186,34
738,19,0.0027819297391,35
739,19,0.00995568619777,36
740,20,0.000756929637527,0
741,20,0.00091684434968,1
742,20,0.00134328358209,2
743,20,0.000660980810235,3
744,20,0.000724946695096,4
745,20,0.000575692963753,5
746,20,0.000405117270789,6
747,20,0.000330490405117,7
748,20,0.00046908315565,8
749,20,0.00044776119403,9
750,20,0.0,10
751,20,0.218038379531,11
752,20,0.0119509594883,12
753,20,0.0198933901919,13
754,20,0.0120575692964,14
755,20,0.154541577825,15
756,20,0.01078891258,16
757,20,0.0061407249467,17
758,20,0.00803837953092,18
759,20,0.0788166311301,19
760,20,0.00820895522388,20
761,20,0.0101066098081,21
762,20,0.0101279317697,22
763,20,0.0149040511727,23
764,20,0.0101172707889,24
765,20,0.212697228145,25
766,20,0.0180063965885,26
767,20,0.00169509594883,27
768,20,0.0128997867804,28
769,20,0.026407249467,29
770,20,0.00968017057569,30
771,20,0.114264392324,31
772,20,0.00414712153518,32
773,20,0.00705756929638,33
774,20,0.00298507462687,34
775,20,0.00617270788913,35
776,20,0.00362473347548,36
777,21,0.00031106431853,0
778,21,0.00207148326406,1
779,21,0.002197959965,2
780,21,0.000984467293809,3
